product_id,product_code,sku,product_name,category_id,supplier_id,unit_cost,unit_price,discount_pct,weight_kg,brand,size,color,is_perishable,is_active,launch_date,discontinue_date,created_at,updated_at
1,PRD00001,SKU-Ei99-rUcg18,ClearPath Also Women's Clothing,9,13,122.01,184.37,5,10.72,TechPulse,XL,White,FALSE,TRUE,2020-10-20,,2020-10-20 00:00:00,2020-10-20 00:00:00
2,PRD00002,SKU-BE78-tYob35,SwiftLine Word Fitness Equipment,13,11,142.47,319.65,0,7.477,NaturalChoice,XS,Purple,FALSE,TRUE,2023-01-19,,2023-01-19 00:00:00,2023-01-19 00:00:00
3,PRD00003,SKU-My00-RRVb38,DailyWear Old Men's Clothing,8,14,9.78,18.77,0,3.133,TechPulse,L,Gray,FALSE,TRUE,2022-04-11,,2022-04-11 00:00:00,2022-04-11 00:00:00
4,PRD00004,SKU-Si70-BSBJ66,TechPulse Certainly Women's Clothing,9,9,152.29,312.35,20,16.45,SwiftLine,28,Green,FALSE,TRUE,2022-11-03,,2022-11-03 00:00:00,2022-11-03 00:00:00
5,PRD00005,SKU-xw17-mvBd19,EcoStyle Economy Beverages,11,18,54.93,117.35,15,19.149,PeakForm,XS,Blue,TRUE,TRUE,2021-09-27,,2021-09-27 00:00:00,2021-09-27 00:00:00
6,PRD00006,SKU-oA31-VWZY90,UrbanEdge Not Smartphones,6,3,230.48,400.14,15,3.105,UrbanEdge,30,Brown,FALSE,TRUE,2023-09-22,,2023-09-22 00:00:00,2023-09-22 00:00:00
7,PRD00007,SKU-de90-diCl03,PeakForm Fear Fitness Equipment,13,14,199.49,243.47,0,0.433,ClearPath,30,White,FALSE,FALSE,2021-12-25,,2021-12-25 00:00:00,2021-12-25 00:00:00
8,PRD00008,SKU-Pp05-siMz59,PureLife Measure Furniture,12,17,242.82,578.57,0,4.895,DailyWear,30,White,FALSE,TRUE,2019-08-08,,2019-08-08 00:00:00,2019-08-08 00:00:00
9,PRD00009,SKU-In11-FTVw14,SwiftLine Water Groceries,10,19,239.51,312.02,0,19.806,UrbanEdge,XL,Blue,TRUE,TRUE,2021-04-11,,2021-04-11 00:00:00,2021-04-11 00:00:00
10,PRD00010,SKU-XJ37-sPpH45,SwiftLine Walk Smartphones,6,2,32.58,55.16,15,0.288,EcoStyle,S,Brown,FALSE,TRUE,2022-02-05,,2022-02-05 00:00:00,2022-02-05 00:00:00
11,PRD00011,SKU-gd45-wATN88,PeakForm Mention Beverages,11,2,171.93,398.08,0,4.307,DailyWear,28,White,TRUE,FALSE,2019-07-15,,2019-07-15 00:00:00,2019-07-15 00:00:00
12,PRD00012,SKU-Ho41-tVJn32,DailyWear Can Laptops,7,2,206.91,323.71,0,18.582,TechPulse,XS,Black,FALSE,TRUE,2022-01-17,,2022-01-17 00:00:00,2022-01-17 00:00:00
13,PRD00013,SKU-SC52-PWDh03,UrbanEdge Against Furniture,12,19,279.02,443.38,20,17.004,PeakForm,XXL,Gray,FALSE,TRUE,2022-02-28,,2022-02-28 00:00:00,2022-02-28 00:00:00
14,PRD00014,SKU-Ly70-tfdr44,PeakForm Top Men's Clothing,8,12,238.2,499.29,0,2.044,UrbanEdge,S,Yellow,FALSE,TRUE,2019-06-10,,2019-06-10 00:00:00,2019-06-10 00:00:00
15,PRD00015,SKU-yy96-Ccon70,ClearPath Hundred Furniture,12,15,290.83,472.39,5,4.64,PeakForm,ONE_SIZE,Gray,FALSE,TRUE,2022-07-22,,2022-07-22 00:00:00,2022-07-22 00:00:00
16,PRD00016,SKU-Qt26-cIWw80,UrbanEdge Write Furniture,12,3,30.28,60.69,0,5.433,NaturalChoice,34,Green,FALSE,TRUE,2023-06-23,,2023-06-23 00:00:00,2023-06-23 00:00:00
17,PRD00017,SKU-ZW09-LnWb54,SwiftLine Growth Beverages,11,12,111.41,146.95,20,5.468,EcoStyle,S,Green,TRUE,TRUE,2020-09-23,,2020-09-23 00:00:00,2020-09-23 00:00:00
18,PRD00018,SKU-Zg96-JyUR60,PureLife Field Furniture,12,20,35.47,46.7,10,15.71,NaturalChoice,XS,White,FALSE,TRUE,2022-02-09,,2022-02-09 00:00:00,2022-02-09 00:00:00
19,PRD00019,SKU-UK87-XHqk69,DailyWear I Laptops,7,17,218.83,421.77,0,13.738,EcoStyle,M,White,FALSE,TRUE,2020-05-12,,2020-05-12 00:00:00,2020-05-12 00:00:00
20,PRD00020,SKU-rZ73-Rrfp20,NaturalChoice Spend Fitness Equipment,13,10,48.05,68.1,5,15.675,TechPulse,XL,Black,FALSE,TRUE,2020-07-19,,2020-07-19 00:00:00,2020-07-19 00:00:00
21,PRD00021,SKU-zc84-Nrxr59,EcoStyle Receive Fitness Equipment,13,10,180.17,262.01,0,18.982,TechPulse,32,Gray,FALSE,TRUE,2019-08-08,,2019-08-08 00:00:00,2019-08-08 00:00:00
22,PRD00022,SKU-tK49-Quql01,DailyWear Life Beverages,11,5,134.87,237.34,0,6.481,UrbanEdge,28,Yellow,TRUE,TRUE,2023-08-14,,2023-08-14 00:00:00,2023-08-14 00:00:00
23,PRD00023,SKU-Dc70-wEOJ70,SwiftLine Discover Furniture,12,19,290.77,459.09,20,4.924,NaturalChoice,XL,Gray,FALSE,TRUE,2022-11-24,,2022-11-24 00:00:00,2022-11-24 00:00:00
