line_id,transaction_id,line_number,product_id,quantity,unit_price,unit_cost,discount_pct,discount_amount,line_total_amount,line_cost_amount,tax_rate,tax_amount,created_at
1,1,1,42,4,455.3,222.12,5.0,91.06,1730.14,888.48,8.0,138.41,2024-12-14 18:45:00
2,2,1,57,5,492.52,234.8,10.0,246.26,2216.34,1174.0,8.0,177.31,2024-03-21 09:04:00
3,2,2,95,1,274.64,217.52,5.0,13.73,260.91,217.52,8.0,20.87,2024-03-21 09:04:00
4,2,3,21,4,262.01,180.17,0.0,0.0,1048.04,720.68,8.0,83.84,2024-03-21 09:04:00
5,3,1,164,4,469.49,233.23,20.0,375.59,1502.37,932.92,8.0,120.19,2023-02-28 20:52:00
6,3,2,127,1,147.27,66.77,20.0,29.45,117.82,66.77,8.0,9.43,2023-02-28 20:52:00
7,4,1,60,2,489.21,284.86,5.0,48.92,929.5,569.72,8.0,74.36,2024-09-05 16:33:00
8,4,2,158,1,139.15,63.97,0.0,0.0,139.15,63.97,8.0,11.13,2024-09-05 16:33:00
9,4,3,44,2,327.63,173.17,0.0,0.0,655.26,346.34,8.0,52.42,2024-09-05 16:33:00
10,4,4,173,1,266.62,117.52,10.0,26.66,239.96,117.52,8.0,19.2,2024-09-05 16:33:00
11,4,5,10,3,55.16,32.58,15.0,24.82,140.66,97.74,8.0,11.25,2024-09-05 16:33:00
12,4,6,93,4,258.66,193.7,15.0,155.2,879.44,774.8,8.0,70.36,2024-09-05 16:33:00
13,5,1,24,5,343.12,179.71,15.0,257.34,1458.26,898.55,8.0,116.66,2023-01-16 19:45:00
14,6,1,117,5,198.75,144.86,0.0,0.0,993.75,724.3,8.0,79.5,2023-10-11 11:38:00
15,6,2,104,1,429.83,246.43,0.0,0.0,429.83,246.43,8.0,34.39,2023-10-11 11:38:00
16,7,1,132,3,254.07,178.96,15.0,114.33,647.88,536.88,8.0,51.83,2024-05-30 12:21:00
17,8,1,175,4,397.38,163.46,0.0,0.0,1589.52,653.84,8.0,127.16,2023-09-07 20:21:00
18,8,2,118,1,460.35,256.22,15.0,69.05,391.3,256.22,8.0,31.3,2023-09-07 20:21:00
19,8,3,151,3,93.74,40.62,15.0,42.18,239.04,121.86,8.0,19.12,2023-09-07 20:21:00
20,8,4,8,1,578.57,242.82,0.0,0.0,578.57,242.82,8.0,46.29,2023-09-07 20:21:00
21,9,1,68,3,363.23,153.1,0.0,0.0,1089.69,459.3,8.0,87.18,2024-06-12 16:00:00
22,9,2,64,1,528.24,226.18,0.0,0.0,528.24,226.18,8.0,42.26,2024-06-12 16:00:00
23,9,3,74,5,475.92,278.18,5.0,118.98,2260.62,1390.9,8.0,180.85,2024-06-12 16:00:00
24,9,4,24,2,343.12,179.71,15.0,102.94,583.3,359.42,8.0,46.66,2024-06-12 16:00:00
25,9,5,103,4,104.39,49.58,20.0,83.51,334.05,198.32,8.0,26.72,2024-06-12 16:00:00
26,9,6,173,3,266.62,117.52,10.0,79.99,719.87,352.56,8.0,57.59,2024-06-12 16:00:00
27,10,1,52,2,88.44,67.96,15.0,26.53,150.35,135.92,8.0,12.03,2024-11-30 11:31:00
28,10,2,61,2,139.21,86.85,10.0,27.84,250.58,173.7,8.0,20.05,2024-11-30 11:31:00
29,10,3,189,2,521.91,244.3,0.0,0.0,1043.82,488.6,8.0,83.51,2024-11-30 11:31:00
30,10,4,62,5,506.87,220.34,5.0,126.72,2407.63,1101.7,8.0,192.61,2024-11-30 11:31:00
31,10,5,68,3,363.23,153.1,0.0,0.0,1089.69,459.3,8.0,87.18,2024-11-30 11:31:00
32,10,6,53,2,381.94,209.74,15.0,114.58,649.3,419.48,8.0,51.94,2024-11-30 11:31:00
33,11,1,11,4,398.08,171.93,0.0,0.0,1592.32,687.72,8.0,127.39,2024-05-19 17:00:00
34,11,2,124,5,303.62,129.04,0.0,0.0,1518.1,645.2,8.0,121.45,2024-05-19 17:00:00
35,11,3,96,3,463.83,237.68,5.0,69.57,1321.92,713.04,8.0,105.75,2024-05-19 17:00:00
36,11,4,159,4,82.03,35.23,15.0,49.22,278.9,140.92,8.0,22.31,2024-05-19 17:00:00
37,11,5,81,2,256.94,151.36,0.0,0.0,513.88,302.72,8.0,41.11,2024-05-19 17:00:00
38,12,1,123,3,311.24,143.88,15.0,140.06,793.66,431.64,8.0,63.49,2023-02-25 16:51:00
39,12,2,139,4,176.49,130.67,20.0,141.19,564.77,522.68,8.0,45.18,2023-02-25 16:51:00
40,12,3,9,2,312.02,239.51,0.0,0.0,624.04,479.02,8.0,49.92,2023-02-25 16:51:00
41,12,4,129,4,12.4,10.29,15.0,7.44,42.16,41.16,8.0,3.37,2023-02-25 16:51:00
42,13,1,149,5,361.9,216.41,20.0,361.9,1447.6,1082.05,8.0,115.81,2023-01-13 18:13:00
43,13,2,26,3,66.73,26.82,10.0,20.02,180.17,80.46,8.0,14.41,2023-01-13 18:13:00
44,13,3,84,2,324.65,146.51,0.0,0.0,649.3,293.02,8.0,51.94,2023-01-13 18:13:00
45,13,4,93,5,258.66,193.7,15.0,194.0,1099.3,968.5,8.0,87.94,2023-01-13 18:13:00
46,14,1,180,4,199.42,148.66,20.0,159.54,638.14,594.64,8.0,51.05,2024-05-25 14:13:00
47,14,2,193,3,123.84,72.8,10.0,37.15,334.37,218.4,8.0,26.75,2024-05-25 14:13:00
