transaction_id,transaction_code,transaction_date,store_id,customer_id,cashier_id,transaction_type,channel,subtotal_amount,discount_amount,tax_amount,total_amount,loyalty_points_earned,loyalty_points_redeemed,notes,created_at
1,TXN00000001,2024-12-14 18:45:00,11,315,41,SALE,IN_STORE,1821.2,91.06,138.41,1868.55,1868,0,,2024-12-14 18:45:00
2,TXN00000002,2024-03-21 09:04:00,5,308,26,SALE,MOBILE,3785.28,259.99,282.02,3807.31,3807,0,,2024-03-21 09:04:00
3,TXN00000003,2023-02-28 20:52:00,10,306,13,SALE,MOBILE,2025.23,405.04,129.62,1749.81,1749,0,,2023-02-28 20:52:00
4,TXN00000004,2024-09-05 16:33:00,10,402,23,SALE,MOBILE,3239.57,255.6,238.72,3222.69,3222,0,,2024-09-05 16:33:00
5,TXN00000005,2023-01-16 19:45:00,13,266,19,SALE,MOBILE,1715.6,257.34,116.66,1574.92,1574,0,,2023-01-16 19:45:00
6,TXN00000006,2023-10-11 11:38:00,19,494,17,SALE,IN_STORE,1423.58,0.0,113.89,1537.47,1537,0,,2023-10-11 11:38:00
7,TXN00000007,2024-05-30 12:21:00,17,38,35,SALE,MOBILE,762.21,114.33,51.83,699.71,699,0,,2024-05-30 12:21:00
8,TXN00000008,2023-09-07 20:21:00,13,395,25,SALE,MOBILE,2909.66,111.23,223.87,3022.3,3022,0,,2023-09-07 20:21:00
9,TXN00000009,2024-06-12 16:00:00,11,181,23,SALE,IN_STORE,5901.19,385.42,441.26,5957.03,5957,0,,2024-06-12 16:00:00
10,TXN00000010,2024-11-30 11:31:00,9,383,50,SALE,IN_STORE,5887.04,295.67,447.32,6038.69,6038,0,,2024-11-30 11:31:00
11,TXN00000011,2024-05-19 17:00:00,3,340,49,SALE,MOBILE,5343.91,118.79,418.01,5643.13,5643,0,,2024-05-19 17:00:00
12,TXN00000012,2023-02-25 16:51:00,8,66,8,SALE,MOBILE,2313.32,288.69,161.96,2186.59,2186,0,,2023-02-25 16:51:00
13,TXN00000013,2023-01-13 18:13:00,15,5,17,SALE,IN_STORE,3952.29,575.92,270.1,3646.47,3646,0,,2023-01-13 18:13:00
14,TXN00000014,2024-05-25 14:13:00,20,95,37,SALE,IN_STORE,4049.22,289.46,300.78,4060.54,4060,0,,2024-05-25 14:13:00
15,TXN00000015,2023-10-04 20:15:00,8,370,32,SALE,IN_STORE,3736.92,260.5,278.12,3754.54,3754,0,,2023-10-04 20:15:00
16,TXN00000016,2024-05-13 12:16:00,18,403,41,SALE,IN_STORE,1442.69,120.53,105.77,1427.93,1427,0,,2024-05-13 12:16:00
17,TXN00000017,2024-07-27 16:59:00,11,185,13,SALE,MOBILE,2084.04,180.06,152.32,2056.3,2056,0,,2024-07-27 16:59:00
18,TXN00000018,2023-10-19 13:20:00,18,400,41,SALE,ONLINE,6369.16,252.92,489.3,6605.54,6605,0,,2023-10-19 13:20:00
19,TXN00000019,2023-03-15 09:10:00,20,435,42,SALE,ONLINE,3340.9,93.18,259.82,3507.54,3507,0,,2023-03-15 09:10:00
20,TXN00000020,2024-04-06 14:10:00,12,267,48,SALE,MOBILE,1169.97,120.04,84.0,1133.93,1133,0,,2024-04-06 14:10:00
21,TXN00000021,2023-04-08 09:59:00,7,53,17,SALE,MOBILE,4877.74,0.0,390.22,5267.96,5267,0,,2023-04-08 09:59:00
22,TXN00000022,2023-10-18 15:40:00,13,127,3,SALE,MOBILE,672.89,0.0,53.83,726.72,726,0,,2023-10-18 15:40:00
23,TXN00000023,2024-07-07 12:35:00,16,446,28,SALE,MOBILE,4070.66,654.76,273.27,3689.17,3689,0,,2024-07-07 12:35:00
24,TXN00000024,2024-07-06 11:51:00,10,247,24,SALE,ONLINE,1750.92,175.09,126.07,1701.9,1701,0,,2024-07-06 11:51:00
25,TXN00000025,2024-06-19 21:48:00,10,,1,SALE,MOBILE,2983.48,118.98,229.16,3093.66,3093,0,,2024-06-19 21:48:00
26,TXN00000026,2024-03-16 20:18:00,16,393,11,SALE,MOBILE,8009.97,190.61,625.54,8444.9,8444,0,,2024-03-16 20:18:00
27,TXN00000027,2024-03-08 18:15:00,13,41,5,SALE,IN_STORE,5827.69,613.72,417.12,5631.09,5631,0,,2024-03-08 18:15:00
28,TXN00000028,2024-04-08 12:44:00,4,317,19,SALE,ONLINE,2783.15,164.81,209.47,2827.81,2827,0,,2024-04-08 12:44:00
29,TXN00000029,2023-01-16 15:13:00,1,78,22,SALE,IN_STORE,3200.91,30.44,253.64,3424.11,3424,0,,2023-01-16 15:13:00
30,TXN00000030,2024-07-10 15:11:00,9,37,50,SALE,MOBILE,656.87,18.74,51.05,689.18,689,0,,2024-07-10 15:11:00
31,TXN00000031,2023-07-23 15:47:00,15,18,31,SALE,ONLINE,274.48,41.17,18.66,251.97,251,0,,2023-07-23 15:47:00
32,TXN00000032,2024-07-16 16:07:00,6,22,43,SALE,IN_STORE,2169.73,281.69,151.04,2039.08,2039,0,,2024-07-16 16:07:00
33,TXN00000033,2023-01-16 10:50:00,8,167,38,SALE,MOBILE,984.41,28.09,76.51,1032.83,1032,0,,2023-01-16 10:50:00
34,TXN00000034,2023-04-02 11:10:00,20,395,45,SALE,MOBILE,1701.94,208.6,119.46,1612.8,1612,0,,2023-04-02 11:10:00
35,TXN00000035,2024-07-25 20:41:00,5,163,47,SALE,IN_STORE,870.92,73.05,63.84,861.71,861,0,,2024-07-25 20:41:00
36,TXN00000036,2023-10-29 16:44:00,16,287,39,SALE,MOBILE,4366.27,474.95,311.32,4202.64,4202,0,,2023-10-29 16:44:00
37,TXN00000037,2023-09-27 16:23:00,17,152,24,SALE,MOBILE,2614.4,223.21,191.29,2582.48,2582,0,,2023-09-27 16:23:00
38,TXN00000038,2024-02-01 11:33:00,3,276,43,SALE,IN_STORE,5304.66,646.94,372.61,5030.33,5030,0,,2024-02-01 11:33:00
39,TXN00000039,2023-07-26 09:31:00,5,17,43,SALE,ONLINE,1581.73,33.37,123.87,1672.23,1672,0,,2023-07-26 09:31:00
40,TXN00000040,2023-02-20 13:14:00,20,132,36,SALE,MOBILE,4436.92,706.05,298.47,4029.34,4029,0,,2023-02-20 13:14:00
41,TXN00000041,2024-09-23 12:33:00,12,30,20,SALE,IN_STORE,70.02,0.0,5.6,75.62,75,0,,2024-09-23 12:33:00
42,TXN00000042,2024-06-28 14:12:00,4,119,41,SALE,IN_STORE,2008.81,279.99,138.31,1867.13,1867,0,,2024-06-28 14:12:00
43,TXN00000043,2024-10-15 17:22:00,18,55,35,SALE,MOBILE,8232.26,1207.13,562.01,7587.14,7587,0,,2024-10-15 17:22:00
44,TXN00000044,2023-11-29 21:23:00,12,282,35,SALE,IN_STORE,4695.7,157.4,363.06,4901.36,4901,0,,2023-11-29 21:23:00
45,TXN00000045,2024-01-04 15:28:00,18,131,20,SALE,IN_STORE,3530.54,98.52,274.57,3706.59,3706,0,,2024-01-04 15:28:00
46,TXN00000046,2024-12-07 21:17:00,7,12,17,SALE,ONLINE,2888.62,354.61,202.72,2736.73,2736,0,,2024-12-07 21:17:00
47,TXN00000047,2023-11-04 09:36:00,8,416,45,SALE,MOBILE,1265.63,31.36,98.74,1333.01,1333,0,,2023-11-04 09:36:00
48,TXN00000048,2023-02-08 19:51:00,4,154,50,SALE,IN_STORE,5571.36,230.86,427.24,5767.74,5767,0,,2023-02-08 19:51:00
49,TXN00000049,2024-01-27 08:19:00,1,324,44,SALE,MOBILE,4053.71,262.26,303.32,4094.77,4094,0,,2024-01-27 08:19:00
50,TXN00000050,2024-05-31 09:14:00,15,295,48,SALE,IN_STORE,2463.6,247.86,177.25,2392.99,2392,0,,2024-05-31 09:14:00
51,TXN00000051,2024-05-28 14:49:00,13,205,48,SALE,MOBILE,7068.24,677.24,511.28,6902.28,6902,0,,2024-05-28 14:49:00
52,TXN00000052,2023-11-28 18:59:00,3,221,39,SALE,MOBILE,3485.9,376.14,248.79,3358.55,3358,0,,2023-11-28 18:59:00
53,TXN00000053,2024-09-23 21:51:00,10,180,49,SALE,MOBILE,2106.79,229.57,150.17,2027.39,2027,0,,2024-09-23 21:51:00
54,TXN00000054,2024-09-27 10:55:00,4,125,31,SALE,IN_STORE,1609.29,62.47,123.74,1670.56,1670,0,,2024-09-27 10:55:00
55,TXN00000055,2024-06-19 20:16:00,18,280,17,SALE,IN_STORE,4330.88,381.99,315.92,4264.81,4264,0,,2024-06-19 20:16:00
